shapeName,event_count,area_km2,events_per_1000km2
Donetsk Oblast,517,28936.2,17.87
Kherson Oblast,303,33739.16,8.98
Sumy Oblast,291,23840.67,12.21
Kharkiv Oblast,183,31440.13,5.82
Zaporizhia Oblast,115,31433.3,3.66
Chernihiv Oblast,106,31878.55,3.33
Dnipropetrovsk Oblast,78,31912.09,2.44
Luhansk Oblast,17,26675.89,0.64
Mykolaiv Oblast,14,25219.27,0.56
Odessa Oblast,6,39357.05,0.15
Autonomous Republic of Crimea,6,41700.35,0.14
Cherkasy Oblast,6,20948.52,0.29
Kyiv,6,825.47,7.27
Kirovohrad Oblast,5,24568.47,0.2
Vinnytsia Oblast,3,26494.63,0.11
Chernivtsi Oblast,2,8102.6,0.25
Khmelnytskyi Oblast,2,20623.49,0.1
Rivne Oblast,2,20077.42,0.1
Kyiv Oblast,2,28140.29,0.07
Poltava Oblast,2,28713.41,0.07
Volyn Oblast,1,20149.16,0.05
Zhytomyr Oblast,1,29852.91,0.03
Zakarpattia Oblast,1,12753.77,0.08
Lviv Oblast,1,21831.85,0.05
Ternopil Oblast,0,13832.67,0.0
Ivano-Frankivsk Oblast,0,13918.74,0.0
Sevastopol,0,3099.0,0.0
